host,min_time,max_time,avg_time,geolocation_coordinates,dist_from_me,is_self
128.211.248.45,0.0,0.0,0.0,"40.42586,-86.908104",0.0,True
speedtest.chi11.us.leaseweb.net,7.0,8.0,7.0,"41.875772,-87.620606",171.90407265783531,False
chi.speedtest.clouvider.net,14.0,16.0,14.0,"41.875772,-87.620606",171.90407265783531,False
185.93.1.65,9.0,11.0,9.0,"41.875772,-87.620606",171.90407265783531,False
37.19.206.20,32.0,33.0,32.0,"37.129071,-84.083417",440.78189779938833,False
156.146.53.53,56.0,58.0,56.0,"37.129071,-84.083417",440.78189779938833,False
185.152.67.2,59.0,80.0,61.0,"37.129071,-84.083417",440.78189779938833,False
185.152.66.67,23.0,24.0,23.0,"37.129071,-84.083417",440.78189779938833,False
109.61.86.65,31.0,36.0,31.0,"37.129071,-84.083417",440.78189779938833,False
37.19.216.1,32.0,35.0,33.0,"37.129071,-84.083417",440.78189779938833,False
195.181.162.195,36.0,37.0,36.0,"37.129071,-84.083417",440.78189779938833,False
185.59.223.8,26.0,27.0,26.0,"37.129071,-84.083417",440.78189779938833,False
138.199.57.129,24.0,30.0,25.0,"42.984116,-81.233456",550.1250554975204,False
speedtest.nocix.net,17.0,18.0,17.0,"39.09973,-94.57857",671.7747325742732,False
204.155.243.172,19.0,21.0,19.0,"43.653661,-79.382924",717.227584460548,False
96.45.43.6,17.0,19.0,18.0,"43.653661,-79.382924",717.227584460548,False
atl.speedtest.clouvider.net,25.0,26.0,25.0,"33.748795,-84.387543",775.2880396609195,False
ash.speedtest.clouvider.net,23.0,24.0,23.0,"39.039474,-77.491809",819.4145835164483,False
66.35.22.79,28.0,30.0,28.0,"39.039474,-77.491809",819.4145835164483,False
speedtest.wdc2.us.leaseweb.net,33.0,33.0,33.0,"38.750998,-77.475166",829.0517992891779,False
173.243.131.29,26.0,30.0,26.0,"45.41117,-75.698",1066.516007961094,False
dfw.speedtest.is.cc,50.0,52.0,50.0,"40.796744,-74.055555",1084.7320206414372,False
speedtest.nyc1.us.leaseweb.net,28.0,29.0,28.0,"40.713192,-74.006065",1089.2668844400484,False
speedtest.mtl2.ca.leaseweb.net,37.0,38.0,37.0,"45.50884,-73.58781",1220.1958379989132,False
speedtest.goco.ca,28.0,33.0,29.0,"45.50884,-73.58781",1220.1958379989132,False
dal.speedtest.clouvider.net,29.0,31.0,29.0,"32.78306,-96.8065",1224.401023303187,False
66.35.27.207,26.0,28.0,26.0,"32.78306,-96.8065",1224.401023303187,False
speedtest.dal13.us.leaseweb.net,35.0,38.0,36.0,"32.78306,-96.8065",1224.401023303187,False
209.40.123.215,27.0,30.0,28.0,"32.78306,-96.8065",1224.401023303187,False
speedtest.lax12.us.leaseweb.net,59.0,80.0,61.0,"32.78306,-96.8065",1224.401023303187,False
89.187.164.1,29.0,31.0,29.0,"32.78306,-96.8065",1224.401023303187,False
yyc-speedtest.xplore.ca,41.0,42.0,41.0,"46.15796,-67.58377",1683.448348279987,False
speedtest.mia11.us.leaseweb.net,37.0,40.0,37.0,"25.77427,-80.1936",1743.6827680149663,False
23.249.54.234,40.0,80.0,44.0,"25.77427,-80.1936",1743.6827680149663,False
speedtest.xmission.com,40.0,44.0,40.0,"40.76078,-111.89105",2102.6228931505316,False
phx.speedtest.clouvider.net,45.0,46.0,45.0,"33.448232,-112.074054",2357.696260772117,False
speedtest.phx1.us.leaseweb.net,51.0,54.0,51.0,"33.448232,-112.074054",2357.696260772117,False
121.127.43.65,54.0,55.0,54.0,"20.600095,-100.383929",2547.596742733548,False
speedtest1.flowjamaica.com,53.0,56.0,54.0,"17.99702,-76.79358",2675.612826054811,False
la.speedtest.clouvider.net,61.0,63.0,61.0,"34.052571,-118.243907",2846.766206812421,False
speedtest.sea11.us.leaseweb.net,58.0,60.0,58.0,"47.604309,-122.329845",2914.725890491273,False
84.17.41.11,52.0,54.0,52.0,"47.604309,-122.329845",2914.725890491273,False
66.35.30.9,53.0,54.0,53.0,"49.24082,-123.116713",2985.428819287214,False
66.35.20.123,56.0,60.0,56.0,"37.33939,-121.89496",3027.8812504800144,False
148.230.59.38,54.0,58.0,54.0,"37.33939,-121.89496",3027.8812504800144,False
speedtest.sfo12.us.leaseweb.net,55.0,58.0,56.0,"37.77493,-122.41942",3057.830760445944,False
speedtest6.cwpanama.net,71.0,72.0,71.0,"8.99361,-79.519767",3570.641755255168,False
speedtest1.cwpanama.net,69.0,70.0,69.0,"8.99361,-79.519767",3570.641755255168,False
speedtest.masnet.ec,102.0,103.0,102.0,"-1.05,-80.45",4658.175289087959,False
spd-icsrv.hostkey.com,113.0,118.0,113.0,"64.135548,-21.895985",4851.634061479204,False
man.speedtest.clouvider.net,97.0,99.0,97.0,"53.48095,-2.23743",6195.923259656155,False
speedtest.rapidswitch.com,94.0,95.0,94.0,"53.48095,-2.23743",6195.923259656155,False
iperf.as42831.net,93.0,96.0,94.0,"52.40656,-1.51217",6288.954869136994,False
speedtest.lon1.uk.leaseweb.net,100.0,101.0,100.0,"51.50853,-0.12574",6417.497367695925,False
185.59.221.51,100.0,104.0,101.0,"51.50853,-0.12574",6417.497367695925,False
lon.speedtest.clouvider.net,99.0,104.0,99.0,"51.50853,-0.12574",6417.497367695925,False
96.45.40.45,100.0,104.0,100.0,"51.50853,-0.12574",6417.497367695925,False
87.249.137.8,111.0,112.0,111.0,"51.50853,-0.12574",6417.497367695925,False
speedtest.lon12.uk.leaseweb.net,99.0,104.0,100.0,"51.50971,-0.0016",6425.161348394485,False
109.61.94.65,146.0,150.0,147.0,"38.716753,-9.133368",6438.404937987501,False
speedtest2.lightningfibre.net.uk,89.0,90.0,89.0,"50.82338,0.2447",6474.3808699378715,False
lg.gigahost.no,119.0,121.0,120.0,"59.131199,10.216684",6611.488096263552,False
iperf.worldstream.nl,99.0,102.0,99.0,"51.994063,4.209895",6658.377951821101,False
speedtest.ams1.nl.leaseweb.net,107.0,110.0,107.0,"52.378502,4.89998",6679.340458581182,False
185.102.218.1,100.0,103.0,100.0,"52.378502,4.89998",6679.340458581182,False
speedtest.ams2.nl.leaseweb.net,103.0,105.0,103.0,"52.378502,4.89998",6679.340458581182,False
ams.speedtest.clouvider.net,102.0,103.0,102.0,"52.378502,4.89998",6679.340458581182,False
speedtest.netone.nl,104.0,106.0,104.0,"52.378502,4.89998",6679.340458581182,False
ping-ams1.online.net,101.0,104.0,101.0,"52.378502,4.89998",6679.340458581182,False
96.45.42.156,101.0,104.0,101.0,"48.859078,2.293486",6705.9784100229635,False
iperf3.moji.fr,96.0,99.0,96.0,"48.859078,2.293486",6705.9784100229635,False
185.93.2.193,112.0,112.0,112.0,"48.859078,2.293486",6705.9784100229635,False
ping-90ms.online.net,192.0,193.0,192.0,"48.859078,2.293486",6705.9784100229635,False
speedtest.milkywan.fr,105.0,107.0,105.0,"48.859078,2.293486",6705.9784100229635,False
ping.online.net,105.0,107.0,105.0,"48.859078,2.293486",6705.9784100229635,False
iperf.online.net,105.0,107.0,106.0,"48.859078,2.293486",6705.9784100229635,False
iperf1.surfwireless.nl,104.0,105.0,104.0,"52.0911,5.1221",6707.970782532517,False
speedtest.nl1.mirhosting.net,103.0,106.0,103.0,"52.029195,5.080222",6708.789289431366,False
nl.speed.vps1.net,100.0,102.0,100.0,"52.525001,5.717999",6720.054500870052,False
185.3.160.57,113.0,113.0,113.0,"50.85085,4.34878",6727.870271618183,False
