host,hop,hop_addr,rtt_ms
185.180.12.40,1,100.69.192.2,2.0
185.180.12.40,2,192.168.2.222,1.6666666666666667
185.180.12.40,3,192.168.18.222,3.0
185.180.12.40,4,172.28.249.133,3.3333333333333335
185.180.12.40,5,172.28.253.228,2.0
185.180.12.40,6,172.28.253.242,2.3333333333333335
185.180.12.40,7,172.28.249.222,2.0
185.180.12.40,8,72.12.199.192,2.3333333333333335
185.180.12.40,10,4.28.194.225,8.666666666666666
185.180.12.40,11,171.75.8.159,125.0
185.180.12.40,12,212.162.39.18,128.66666666666666
185.180.12.40,13,79.127.195.212,126.0
185.180.12.40,14,185.180.12.40,134.0
195.181.162.195,1,100.69.192.2,2.0
195.181.162.195,2,192.168.2.222,2.0
195.181.162.195,3,192.168.18.218,3.3333333333333335
195.181.162.195,4,172.28.249.139,3.3333333333333335
195.181.162.195,5,172.28.253.228,2.0
195.181.162.195,6,172.28.253.242,2.0
195.181.162.195,7,172.28.249.222,2.0
195.181.162.195,8,72.12.199.192,2.3333333333333335
195.181.162.195,10,66.208.228.253,11.666666666666666
195.181.162.195,11,96.110.37.33,13.666666666666666
195.181.162.195,12,68.86.85.58,42.666666666666664
195.181.162.195,13,50.248.116.234,36.333333333333336
195.181.162.195,14,79.127.195.115,36.333333333333336
195.181.162.195,15,195.181.162.195,36.333333333333336
105.235.237.2,1,100.69.192.2,2.0
105.235.237.2,2,192.168.2.222,1.6666666666666667
105.235.237.2,3,192.168.18.222,3.0
105.235.237.2,4,172.28.249.139,3.3333333333333335
105.235.237.2,5,172.28.253.228,2.0
105.235.237.2,6,172.28.253.242,2.3333333333333335
105.235.237.2,7,172.28.249.222,2.0
105.235.237.2,8,72.12.199.192,2.6666666666666665
105.235.237.2,10,206.126.238.93,23.666666666666668
105.235.237.2,11,185.35.141.155,219.33333333333334
105.235.237.2,12,197.214.64.28,220.66666666666666
105.235.237.2,13,197.214.64.101,220.66666666666666
105.235.237.2,14,197.214.64.93,221.0
105.235.237.2,15,197.214.64.20,220.66666666666666
105.235.237.2,16,105.235.237.2,223.33333333333334
138.199.57.129,1,100.69.192.2,1.6666666666666667
138.199.57.129,2,192.168.2.222,2.0
138.199.57.129,3,192.168.18.218,2.0
138.199.57.129,4,172.28.249.133,2.6666666666666665
138.199.57.129,5,172.28.253.228,2.0
138.199.57.129,6,172.28.253.242,2.0
138.199.57.129,7,172.28.249.222,2.0
138.199.57.129,8,72.12.199.192,2.0
138.199.57.129,11,213.248.91.100,11.666666666666666
138.199.57.129,12,62.115.141.44,13.666666666666666
138.199.57.129,13,62.115.123.144,15.333333333333334
138.199.57.129,14,62.115.140.109,24.0
138.199.57.129,16,62.115.136.247,26.333333333333332
138.199.57.129,17,62.115.163.21,26.0
138.199.57.129,18,79.127.194.228,26.0
138.199.57.129,19,138.199.57.129,24.666666666666668
nl.speed.vps1.net,1,100.69.192.2,2.0
nl.speed.vps1.net,2,192.168.2.222,2.0
nl.speed.vps1.net,3,192.168.18.222,2.0
nl.speed.vps1.net,4,172.28.249.139,2.6666666666666665
nl.speed.vps1.net,5,172.28.253.228,1.6666666666666667
nl.speed.vps1.net,6,172.28.253.242,2.6666666666666665
nl.speed.vps1.net,7,172.28.249.222,2.0
nl.speed.vps1.net,8,72.12.199.192,2.3333333333333335
nl.speed.vps1.net,10,4.28.194.225,9.333333333333334
nl.speed.vps1.net,12,4.30.181.50,96.66666666666667
nl.speed.vps1.net,13,87.245.232.123,104.66666666666667
nl.speed.vps1.net,14,87.245.227.245,128.0
nl.speed.vps1.net,16,194.135.46.48,100.0
